"","child","child_t1","child_t2"
"328",1,1,1
"329",0,NA,1
"330",0,NA,NA
"331",1,NA,NA
"332",0,NA,NA
"333",0,NA,NA
"334",0,NA,NA
"335",1,1,1
"336",1,NA,NA
"337",1,1,1
"338",1,NA,1
"339",0,NA,NA
"340",1,NA,NA
"341",1,1,1
"342",1,NA,NA
"343",1,NA,NA
"344",1,NA,NA
"345",1,1,1
"346",1,1,1
"347",1,NA,1
"348",0,1,1
"349",1,NA,NA
"350",1,1,1
"351",1,1,NA
"352",1,NA,NA
"353",1,1,1
"354",1,1,1
"355",1,NA,NA
"356",1,NA,NA
"357",1,NA,NA
"358",1,1,1
"359",1,NA,NA
"360",0,NA,NA
"361",1,NA,NA
"362",1,1,1
"363",1,1,1
"364",1,NA,NA
"365",0,1,0
"366",1,NA,NA
"367",1,NA,NA
"368",0,0,0
"369",1,NA,NA
"370",1,1,1
"371",1,NA,1
"372",1,1,1
"373",1,NA,NA
"374",1,NA,NA
"375",1,1,NA
"376",0,NA,NA
"377",1,NA,NA
"378",0,1,1
"379",1,NA,NA
"380",0,NA,1
"381",1,1,1
"382",1,NA,1
"383",1,NA,NA
"384",1,NA,NA
"385",1,NA,NA
"386",1,NA,NA
"387",1,NA,NA
"388",1,NA,NA
"389",1,1,1
"390",1,1,1
"391",1,0,1
"392",0,NA,0
"393",1,NA,NA
"394",1,NA,1
"395",1,NA,NA
"396",1,1,1
"397",0,NA,NA
"398",1,NA,NA
"399",1,NA,1
"400",0,NA,NA
"401",1,NA,NA
"402",1,NA,NA
"403",1,1,1
"404",1,NA,1
"405",1,NA,NA
"406",1,NA,NA
"407",1,1,1
"408",0,0,0
"409",1,1,1
"410",1,1,1
"411",1,NA,NA
"412",1,NA,NA
"413",1,NA,NA
"414",0,NA,NA
"415",1,NA,NA
"416",1,NA,NA
"417",1,NA,NA
"418",1,NA,1
"419",1,NA,NA
"420",0,NA,NA
"421",1,1,1
"422",1,NA,NA
"423",0,NA,0
"424",1,1,1
"425",1,NA,NA
"426",1,NA,NA
"427",1,1,1
"428",1,1,1
"429",1,NA,NA
"430",0,1,NA
"431",0,NA,0
"432",1,NA,NA
"433",1,NA,NA
"434",1,NA,NA
"435",1,NA,NA
"436",0,NA,NA
"437",1,NA,NA
"438",1,1,1
"439",1,NA,1
"440",1,1,1
"441",1,NA,NA
"442",1,1,1
"443",1,NA,NA
"444",1,NA,1
"445",1,NA,NA
"446",1,NA,NA
"447",1,1,1
"448",1,NA,NA
"449",1,NA,NA
"450",1,NA,NA
"451",1,1,1
"452",1,NA,NA
"453",0,0,NA
"454",1,NA,1
"455",1,NA,1
"456",1,NA,1
"457",1,NA,NA
"458",1,NA,NA
"459",1,1,1
"460",1,NA,1
"461",1,NA,NA
"462",1,1,1
"463",1,NA,1
"464",1,NA,NA
"465",1,1,1
"466",1,NA,NA
"467",1,1,1
"468",1,NA,NA
"469",1,1,1
"470",1,1,1
"471",1,1,1
"472",1,NA,NA
"473",1,1,1
"474",1,NA,NA
"475",1,NA,NA
"476",1,1,1
"477",0,1,NA
"478",1,NA,NA
"479",0,0,0
"480",1,1,1
"481",1,NA,NA
"482",0,NA,NA
"483",1,1,1
"484",1,1,1
"485",1,NA,NA
"486",1,NA,NA
"487",1,NA,1
"488",1,1,1
"489",1,NA,NA
"490",1,1,1
"491",1,NA,1
"492",0,1,1
"493",1,1,1
"494",1,NA,NA
"495",1,1,1
"496",0,NA,NA
"497",1,NA,1
"498",0,NA,NA
"499",1,NA,NA
"500",0,NA,NA
"501",0,NA,NA
"502",0,NA,NA
"503",1,1,1
"504",0,NA,NA
"505",0,NA,NA
"506",1,NA,1
"507",0,NA,NA
"508",0,NA,NA
"509",0,NA,NA
"510",0,NA,NA
"511",1,1,1
"512",1,1,1
"513",1,1,1
"514",0,NA,NA
"515",0,NA,NA
"516",0,NA,NA
"517",0,NA,NA
"518",0,NA,NA
"519",0,NA,NA
"520",0,NA,NA
"521",0,NA,NA
"522",0,NA,NA
"523",0,NA,NA
"524",0,NA,NA
"525",0,NA,NA
"526",0,NA,NA
"527",0,NA,NA
"528",0,NA,NA
"529",0,NA,NA
"530",1,NA,NA
"531",0,NA,NA
"532",0,NA,NA
"533",0,NA,NA
"534",0,NA,NA
"535",0,NA,NA
"536",0,NA,NA
"537",0,NA,NA
"538",0,NA,NA
"539",0,NA,NA
"540",0,NA,NA
"541",0,NA,NA
"542",0,NA,NA
"543",0,NA,NA
"544",0,NA,NA
"545",0,NA,NA
"546",1,NA,NA
"547",1,1,1
"548",1,NA,NA
"549",1,1,NA
"550",1,1,1
"551",1,1,1
"552",1,1,1
"553",1,1,1
"554",1,1,1
"555",1,1,NA
"556",0,NA,NA
"557",0,0,NA
"558",0,NA,NA
"559",0,NA,NA
"560",0,NA,NA
"561",0,0,0
"562",0,0,0
"563",1,1,1
"564",1,1,1
"565",1,NA,1
"566",0,1,0
"567",1,NA,NA
"568",1,NA,NA
"569",1,NA,NA
"570",1,NA,NA
"571",1,NA,NA
"572",1,NA,NA
"573",1,NA,NA
"574",1,NA,NA
"575",1,NA,NA
